ticker,year_month,period_end,open,high,low,close,r3,s3,pct_range_r3,error
SHREECEM.NS,2025-11,2025-11-01,28310.0,28395.0,26300.0,26400.0,26976.0,25824.0,4.46,
DOMS.NS,2025-11,2025-11-01,2575.0,2649.0,2450.0,2510.0,2565.0,2455.0,4.48,
ARE&M.NS,2025-11,2025-11-01,1001.0,1015.0,940.0,952.0,973.0,931.0,4.51,
JSL.NS,2025-11,2025-11-01,754.0,776.0,716.0,771.0,788.0,754.0,4.51,
GLENMARK.NS,2025-11,2025-11-01,1889.0,1958.0,1801.0,1946.0,1989.0,1903.0,4.52,
RECLTD.NS,2025-11,2025-11-01,375.0,380.0,350.0,361.0,369.0,353.0,4.53,
APOLLOHOSP.NS,2025-11,2025-11-01,7675.0,7891.0,7300.0,7336.0,7499.0,7173.0,4.54,
MARICO.NS,2025-11,2025-11-01,716.0,765.0,706.0,717.0,733.0,701.0,4.56,
ZYDUSLIFE.NS,2025-11,2025-11-01,970.0,998.0,920.0,942.0,963.0,921.0,4.56,
BPCL.NS,2025-11,2025-11-01,362.0,382.0,354.0,359.0,367.0,351.0,4.56,
EIDPARRY.NS,2025-11,2025-11-01,1078.0,1086.0,1003.0,1031.0,1054.0,1008.0,4.56,
CHOICEIN.NS,2025-11,2025-11-01,838.0,841.0,775.0,806.0,824.0,788.0,4.57,
UPL.NS,2025-11,2025-11-01,720.0,776.0,713.0,759.0,776.0,742.0,4.58,
RBLBANK.NS,2025-11,2025-11-01,328.0,332.0,306.0,312.0,319.0,305.0,4.59,
CANFINHOME.NS,2025-11,2025-11-01,866.0,925.0,854.0,885.0,905.0,865.0,4.62,
INDGN.NS,2025-11,2025-11-01,545.0,545.0,503.0,531.0,543.0,519.0,4.62,
EMAMILTD.NS,2025-11,2025-11-01,535.0,541.0,498.0,530.0,542.0,518.0,4.63,
KFINTECH.NS,2025-11,2025-11-01,1098.0,1126.0,1040.0,1056.0,1080.0,1032.0,4.65,
GAIL.NS,2025-11,2025-11-01,182.0,187.0,172.0,176.0,180.0,172.0,4.65,
HYUNDAI.NS,2025-11,2025-11-01,2440.0,2468.0,2275.0,2326.0,2379.0,2273.0,4.66,
MPHASIS.NS,2025-11,2025-11-01,2764.0,2859.0,2627.0,2811.0,2875.0,2747.0,4.66,
VEDL.NS,2025-11,2025-11-01,502.0,536.0,494.0,526.0,538.0,514.0,4.67,
