ticker,year_month,period_end,open,high,low,close,r3,s3,pct_range_r3,error
SRF.NS,2025-12,2025-12-01,2927.0,3143.0,2805.0,3075.0,3168.0,2982.0,6.24,
GLAXO.NS,2025-12,2025-12-01,2551.0,2635.0,2363.0,2474.0,2549.0,2399.0,6.25,
APLAPOLLO.NS,2025-12,2025-12-01,1728.0,1921.0,1711.0,1914.0,1972.0,1856.0,6.25,
DCMSHRIRAM.NS,2025-12,2025-12-01,1214.0,1325.0,1187.0,1252.0,1290.0,1214.0,6.26,
JUBLFOOD.NS,2025-12,2025-12-01,602.0,610.0,548.0,559.0,576.0,542.0,6.27,
ANANDRATHI.NS,2025-12,2025-12-01,2923.0,3137.0,2793.0,3112.0,3207.0,3017.0,6.3,
AEGISLOG.NS,2025-12,2025-12-01,768.0,782.0,702.0,718.0,740.0,696.0,6.32,
AJANTPHARM.NS,2025-12,2025-12-01,2565.0,2824.0,2514.0,2769.0,2854.0,2684.0,6.33,
CCL.NS,2025-12,2025-12-01,1014.0,1033.0,926.0,944.0,973.0,915.0,6.34,
HOMEFIRST.NS,2025-12,2025-12-01,1122.0,1198.0,1076.0,1102.0,1136.0,1068.0,6.37,
TIINDIA.NS,2025-12,2025-12-01,2797.0,2830.0,2537.0,2614.0,2695.0,2533.0,6.4,
CASTROLIND.NS,2025-12,2025-12-01,193.0,202.0,181.0,193.0,199.0,187.0,6.42,
SWIGGY.NS,2025-12,2025-12-01,380.0,422.0,378.0,386.0,398.0,374.0,6.42,
IIFL.NS,2025-12,2025-12-01,581.0,614.0,546.0,610.0,629.0,591.0,6.43,
BLS.NS,2025-12,2025-12-01,330.0,340.0,304.0,321.0,331.0,311.0,6.43,
POLICYBZR.NS,2025-12,2025-12-01,1819.0,1964.0,1756.0,1826.0,1883.0,1769.0,6.44,
DUMMYHDLVR.NS,,,,,,,,,,no_data
